Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
37,,102.0,General Disclosures,102-33,Communicating critical concerns,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,,102.0,General Disclosures,102-33,Communicating critical concerns,,,Investor and media site,,Lynas Rare Earth,2023.0,"The Investor & Media site furnishes current financial data, granting users access to Lynas' quarterly and annual reports, investor presentations, and regulatory submissions. It keeps stakeholders informed about Lynas' fiscal well-being, strategic objectives, and trajectory for growth.",,,2,9,,,"Stakeholder, information, concern",17,S,,,,,,,,,,,,,,,
39,,102.0,General Disclosures,102-34,Nature and total number of critical concerns,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,,102.0,General Disclosures,102-35,Remuneration policies,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,,102.0,General Disclosures,102-35,Remuneration policies,,,Lynas Remuneration Recommendation,,Lynas Rare Earth,2023.0,"Lynas' remuneration objective is to maximize shareholder benefits by attracting, retaining and motivating talented people, including our Board of Directors and executive management team, at a cost acceptable to shareholders. We remunerate our people competitively and consistently with comparable employment market conditions.",,,2,,36,,"Remuneration, recommendation, compensation","1, 10",G,,,,,,,,,,,,,,,
42,,102.0,General Disclosures,102-36,Process for determining remuneration,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
43,,102.0,General Disclosures,102-36,Process for determining remuneration,,,Fix Remuneration,,Lynas Rare Earth,2023.0,"Fixed remuneration consists of base salary, non-monetary benefits and statutory superannuation contributions. Fixed remuneration is set at a level that enables Lynas to attract and retain talented people at a cost acceptable to shareholders.",,,,,36,,"Remuneration, shareholders, base salary","1, 10",G,,,,,,,,,,,,,,,
44,,102.0,General Disclosures,102-36,Process for determining remuneration,,,Short Term Incentive,,Lynas Rare Earth,2023.0,"The STI program is based on achieving annual financial and non-financial goals. STI supports delivering yearly performance goals, which the Board selects by considering the budget and Lynas' strategic initiatives.",,,,,36,,"Incentive, achievement, annual bonus","1, 10",G,,,,,,,,,,,,,,,
45,,102.0,General Disclosures,102-36,Process for determining remuneration,,,Long Term Incentive,,Lynas Rare Earth,2023.0,The LTI program provides a reward for longer-term performance. LTI focuses on long-term performance goals that create sustained value for shareholders.,,,,,36,,"Incentive, Long-term, LR","1, 10",G,,,,,,,,,,,,,,,
46,,102.0,General Disclosures,102-37,Stakeholders' involvement in remuneration,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
47,,102.0,General Disclosures,102-38,Annual total compensation ratio,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,,102.0,General Disclosures,102-39,Percentage increase in annual total compensation ratio,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,,102.0,General Disclosures,102-40,List of stakeholder groups,"Lynas'Lynas' stakeholders are shareholders and investors, local communities, suppliers and contractors, government and regulators, NGOs, the general community, and educational institutions.",,,,Lynas Rare Earth,2023.0,,,,2,383940,,,,,,,,,,,,,,,,,,,,
50,,102.0,General Disclosures,102-41,Collective bargaining agreements,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
51,,102.0,General Disclosures,102-42,Identifying and selecting stakeholders,,Stakeholder Assessment,,,Lynas Rare Earth,2023.0,"A stakeholder assessment of Lynas Rare Earth, or any company, involves identifying and analyzing the various individuals or groups with an interest or stake in the Company. This process helps the Company understand its operations' concerns, expectations and impacts on different stakeholders, which can have significant social, environmental, and economic implications.",,,2,8,,,"Stakeholder, assessment, identification",17,S,,,,,,,,,,,,,,,
52,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Materiality Assessment,,,Lynas Rare Earth,2023.0,The following materiality matrix for FY23 presents material issues for Lynas in FY23 by significance of impact and importance to our stakeholders. These material issues are continued focus areas for the Company as we drive sustainable value creation.,,,2,9,,,"Materiality, engagement, assessment",17,S,,,,,,,,,,,,,,,
53,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Annual Customer Satisfaction Survey,,,Lynas Rare Earth,2023.0,"Conducting an annual customer satisfaction survey is a valuable practice for Lynas Rare Earth to gauge the opinions and experiences of its customers. Lynas Rare Earth can gather valuable customer insights, strengthen relationships, and make data-driven decisions to enhance customer satisfaction and loyalty.",,,2,9,,,"Engagement, customer, survey",17,S,,,,,,,,,,,,,,,
54,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Sharing and Consultation with Local Communities,,,Lynas Rare Earth,2023.0,"Sharing information and consulting with local communities is crucial for Lynas Rare Earth, especially given the potential social and environmental impacts of rare earth mining and processing. By engaging with and consulting local communities, Lynas Rare Earth can build trust, address concerns, and ensure its operations are conducted responsibly and sustainably.",,,2,9,,,"Engagement, sharing, consultation",17,S,,,,,,,,,,,,,,,
55,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Stakeholder Engagement,,,Lynas Rare Earth,2023.0,"This report covers the key environmental, social and governance aspects reflecting Lynas' operations' material issues. Material issues are those where we significantly affect the economy, environment, and society (positively or negatively) and have a substantive influence on the assessments and decisions of stakeholders.",,,2,9,,,"Engagement, stakeholder, decision",17,S,,,,,,,,,,,,,,,
56,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Investor Briefings,,,Lynas Rare Earth,2023.0,"Investor briefings are crucial for Lynas Rare Earth to keep current and potential investors informed about the Company's performance, strategic initiatives, and plans. Lynas Rare Earth can conduct investor briefings that are informative, transparent, and conducive to building and maintaining positive relationships with investors.",,,2,9,,,"Engagement, briefing, investor",17,S,,,,,,,,,,,,,,,
57,,102.0,General Disclosures,102-43,Approach to stakeholder engagement,,Annual General Meeting,,,Lynas Rare Earth,2023.0,"The Annual General Meeting is a significant event for Lynas Rare Earth, providing a forum for shareholders, board members, and executives to discuss company performance, financial results, and plans.",,,2,9,,,"Engagement, annual meeting, forum",17,S,,,,,,,,,,,,,,,
