Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
64,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,"Investing in supply chain, infrastructure, and technology",,,Ampol,2023.0,"Our core business today holds the key to the future. In 2023, we continued to invest in our fuel supply chain assets while also investing in the Infrastructure and technologies of tomorrow to support Australia and New Zealand in their energy transitions.",,,,,4,,"Fuel supply chain, Infrastructure, Technologies of tomorrow","7, 9, 13",E,,,,,,,,,,,,,,,,
65,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,AmpCharge,,,Ampol,2023.0,"Our ambition to build a premium Tier 1 network with national coverage through the rollout of our Australian EV charging network, AmpCharge, is progressing. We have committed to delivering 300 charging bays at more than 100 sites by the end of 2024, and we are on track to achieve this. In New Zealand, we reached 104 bays by the end of 2023 and are targeting a minimum of 150 bays by the end of 2024.",,,,,4,,"EV charging network, AmpCharge, Charging bays","7, 9, 11",E,,,,,,,,,,,,,,,,
66,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Quick Service Restaurant (QSR),,,Ampol,2023.0,"We also commenced a Quick Service Restaurant (QSR) trial during the year, taking over the operation of Hungry Jack's stores on the Central Coast of NSW and the M1 Northbound site at Wyong, NSW. The stores are performing to expectation, and the trial will be extended to 2024.",,,,,7,,"QSR trial, Hungry Jack's, Operation, Extension","7, 9, 13",E,,,,,,,,,,,,,,,,
67,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Z Energy business rebranding,,,Ampol,2023.0,"2023 marks our first full-year results since finalising the Ampol rebrand and acquiring the Z Energy business. The Ampol brand is now re-established in the hearts and minds of our Australian customers, and the Company continues to embed itself as iconically Australian with a rich history and vision for the future. We have retained the Z Energy brand in New Zealand for similar reasons.",,,,,12,,"Ampol rebrand, Z Energy acquisition, Full-year results","7, 9, 13",E,,,,,,,,,,,,,,,,
68,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Lubricants marketing alliance with ExxonMobil,,,Ampol,2023.0,"Our lubricants' marketing alliance with ExxonMobil has helped maintain a network of additive suppliers in Australia, Southeast Asia, the USA, and Europe and ensure contingency arrangements remain in place for any potential future disruptions. Our lubricants manufacturing facility in Queensland remains a significant source for our major volume products, including engine oils, driveline fluids and hydraulic oils, where continuous improvement initiatives ensure ongoing competitive supply to our large network of retail and business customers.",,,,,11,,"Lubricants marketing alliance, Additive suppliers, Competitive supply","8, 9, 13",E,,,,,,,,,,,,,,,,
69,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Network optimisation,,,Ampol,2023.0,"Our network optimisation is now complete. We are focused on improving the quality of our network through site rationalisation, investment in premium sites, and improving our network tiering and micro-market offerings.",,,,,12,,"Network optimisation, Site rationalisation, Micro-market offerings","7, 9, 13",E,,,,,,,,,,,,,,,,
70,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,"An integrated, efficient fuel supply chain",,,Ampol,2023.0,"Over the year, Z Energy took further steps to ensure its supply chain was efficient, safe, and reliable. Z Energy has smoothly transitioned its fuel imports into the Ampol supply chain in two tranches. Z Energy now benefits from the Group's regional scale, including the Group's Singapore trading function, and has access to a flexible regional supply of high-quality transport fuels.",,,,,16,,"Supply chain efficiency, Fuel imports, Regional scale","7, 9, 13",E,,,,,,,,,,,,,,,,
71,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,Indigenous Procurement Strategy,,,Ampol,2023.0,"Building on the launch of our Indigenous Procurement Strategy in 2022, our commercial engagement with Aboriginal and Torres Strait Islander businesses grew significantly over the past year, with a 100% increase in our annual procurement spend and a 54% increase in the number of affiliations with Aboriginal and Torres Strait Islander owned businesses.",,,,,29,,"Indigenous Procurement Strategy, Commercial engagement, Affiliations","5, 8, 10",E,,,,,,,,,,,,,,,,
72,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,Supply Chain Resilience,,,Ampol,2023.0,"The resilience of our integrated supply chain, with the support of our Trading and Shipping team, was evident this year as it responded to the significant outage at Lytton refinery early in the year, maintaining uninterrupted supply to our customers. During the year, the imported fuel supply to Z Energy transitioned to Ampol's Trading and Shipping team in Singapore, contributing meaningfully to the New Zealand segment result. The Trading and Shipping team has grown to significantly contribute to Ampol's profitability over the past decade, growing its capacity and capabilities to support customers across a broad range of products and geographies.",,,,,6,,"Trading and Shipping team, Lytton refinery outage, Import supply","7, 9, 13",E,,,,,,,,,,,,,,,,
73,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,"We never give or accept bribes. We have zero tolerance for corruption and fraud. Bribery, corruption, and fraud are unacceptable at Ampol and contrary to our values.",,,,Ampol,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
