Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
140,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Take2,,,Xero,2023.0,"Take2 at Xero is a community effort to promote environmental sustainability and reduce carbon emissions. Through employee engagement, education, and collective action, Take2 empowers individuals at Xero to make positive changes in their daily practices and contribute to a greener future.",,,,,,,"Take2, prison to code, meaningful employment",11,S,,Community,,,,,,,,,,,,,,
141,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,P Tech,,,Xero,2023.0,"P Tech at Xero is a community initiative focused on providing pathways for young people to develop skills and pursue careers in technology. By collaborating with schools and industry partners, P Tech aims to bridge the gap between education and employment, empowering students to thrive in the digital economy.",,,,,,,"P Tech, skills and competencies, careers in tech",11,S,,Community,,,,,,,,,,,,,,
142,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Storyo,,,Xero,2023.0,"Storyo at Xero is a community-driven initiative highlighting and celebrating Xero employees' diverse stories and experiences. Storyo fosters connection and empathy within the Xero community through storytelling, workshops, and events, promoting a culture of inclusion and understanding.",,,,,,,"Storyo, 30 women and gender, diverse folk tell",11,S,,Community,,,,,,,,,,,,,,
143,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,ShadowTech,,,Xero,2023.0,"ShadowTech at Xero is a community-driven program designed to introduce young women to careers in the technology industry through hands-on experience and mentorship. By providing opportunities to shadow professionals in the field, ShadowTech empowers young women to explore their interests in technology and inspires them to pursue future career paths in STEM.",,,,,,,"ShadowTech, Storyo, under-represented groups",11,S,,Community,,,,,,,,,,,,,,
144,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,The Creator Project,,,Xero,2023.0,"The Creator Project at Xero is a community-driven initiative that empowers individuals to unleash their creativity and innovation through various projects and collaborations. The Creator Project fosters a vibrant community of makers and innovators within the Xero ecosystem by providing a platform for sharing ideas, skills, and resources.",,,,,,,"The Creator Project, girls into tech, kickstarter",11,S,,Community,,,,,,,,,,,,,,
145,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Nanogirl Labs,,,Xero,2023.0,"Nanogirl Labs at Xero is a collaborative endeavour to promote STEM education and inspire young people, particularly girls, to pursue careers in science and technology. Through interactive workshops, events, and educational materials, Nanogirl Labs engages the Xero community in fostering curiosity, creativity, and innovation among the next generation of scientists and engineers.",,,,,,,"Nanogirl Labs, girls into tech, tech for good",11,S,,Community,,,,,,,,,,,,,,
146,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Trailblazing Women in Tech quiz,,,Xero,2023.0,"The Trailblazing Women in Tech quiz at Xero is a community-driven initiative designed to celebrate and recognise the achievements of women in the technology industry. By highlighting the contributions of trailblazing women and fostering awareness of gender diversity in tech, the quiz inspires inclusivity and empowerment within the Xero community.",,,,,,,"Trailblazing Women in Tech quiz, girls aged 9 to 13, online coding adventures",11,S,,Community,,,,,,,,,,,,,,
147,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,SheSharp (She#),,,Xero,2023.0,"SheSharp (She#) at Xero is a community-driven program dedicated to empowering women in technology through networking, skill-building workshops, and mentorship opportunities. Providing a supportive environment for women to connect, learn, and grow, SheSharp (She#) at Xero fosters gender diversity and inclusion within the tech industry.",,,,,,,"SheSharp (She#), gender and ethnic diversity, today's student\t",11,S,,Community,,,,,,,,,,,,,,
148,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,GirlBoss Edge,,,Xero,2023.0,"GirlBoss Edge at Xero is a community-focused initiative to provide young women with the tools, resources, and mentorship needed to excel in their careers and pursue leadership roles. Through workshops, networking events, and skill-building opportunities, GirlBoss Edge empowers the next generation of female leaders to thrive in the workplace and beyond.",,,,,,,"GirlBoss Edge, our people, online career accelerator, high school-age young women",11,S,,Community,,,,,,,,,,,,,,
149,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Keela,,,Xero,2023.0,"Keela at Xero is a community-driven project that fosters social impact and philanthropy through collaboration and support. By providing resources and tools for nonprofits, Keela empowers organisations to make a positive difference in their communities and beyond, aligning with Xero's commitment to social responsibility.",,,,,,,"Keela, supports non-profits, not-for-profit organisations",11,S,,Community,,,,,,,,,,,,,,
